f_bus,t_bus,repair_time,failure_frequency_permanent,failure_frequency_temporary,length
932,115,0.0,0.0,0.0,1.5625e-05
1030,932,0.0,0.0,0.0,1.5625e-05
773,1030,0.0,0.0,0.0,1.5625e-05
183,773,0.0,0.0,0.0,1.5625e-05
533,183,0.0,0.0,0.0,2.34375e-05
737,644,0.0,0.0,0.0,2.34375e-05
743,737,0.0,0.0,0.0,3.125e-05
743,1003,0.0,0.0,0.0,6.25e-05
1003,363,0.0,0.0,0.0,3.125e-05
363,789,0.0,0.0,0.0,3.125e-05
595,1053,0.0,0.0,0.0,1.5625e-05
1053,1126,0.0,0.0,0.0,1.5625e-05
352,68,0.0,0.0,0.0,1.171875e-05
68,992,0.0,0.0,0.0,1.953125e-05
992,1093,0.0,0.0,0.0,6.640625e-05
655,934,0.0,0.0,0.0,3.125e-05
116,655,0.0,0.0,0.0,3.125e-05
488,116,0.0,0.0,0.0,3.125e-05
198,488,0.0,0.0,0.0,3.125e-05
63,198,0.0,0.0,0.0,1.5625e-05
237,63,0.0,0.0,0.0,1.5625e-05
947,964,0.0,0.0,0.0,1.5625e-05
1101,947,0.0,0.0,0.0,1.5625e-05
550,1101,0.0,0.0,0.0,6.25e-05
360,1059,0.0,0.0,0.0,3.125e-05
87,360,0.0,0.0,0.0,1.5625e-05
776,87,0.0,0.0,0.0,1.5625e-05
596,776,0.0,0.0,0.0,1.5625e-05
638,596,0.0,0.0,0.0,1.5625e-05
744,638,0.0,0.0,0.0,1.5625e-05
305,744,0.0,0.0,0.0,1.5625e-05
252,1115,0.0,0.0,0.0,1.5625e-05
906,252,0.0,0.0,0.0,1.5625e-05
906,1023,0.0,0.0,0.0,6.25e-05
575,519,0.0,0.0,0.0,3.515625e-05
1112,575,0.0,0.0,0.0,3.90625e-05
460,1039,0.0,0.0,0.0,1.171875e-05
1039,369,0.0,0.0,0.0,1.953125e-05
257,802,0.0,0.0,0.0,1.5625e-05
111,710,0.0,0.0,0.0,1.5625e-05
977,942,0.0,0.0,0.0,1.5625e-05
1080,977,0.0,0.0,0.0,1.5625e-05
1050,1000,0.0,0.0,0.0,1.5625e-05
972,1050,0.0,0.0,0.0,1.5625e-05
857,972,0.0,0.0,0.0,6.25e-05
857,79,0.0,0.0,0.0,1.5625e-05
79,284,0.0,0.0,0.0,1.5625e-05
350,1015,0.0,0.0,0.0,1.5625e-05
1015,285,0.0,0.0,0.0,1.5625e-05
206,749,0.0,0.0,0.0,1.5625e-05
749,791,0.0,0.0,0.0,1.5625e-05
490,184,0.0,0.0,0.0,1.5625e-05
184,245,0.0,0.0,0.0,1.5625e-05
531,245,0.0,0.0,0.0,6.25e-05
1106,531,0.0,0.0,0.0,6.25e-05
814,1106,0.0,0.0,0.0,1.5625e-05
1019,814,0.0,0.0,0.0,1.5625e-05
76,517,0.0,0.0,0.0,1.5625e-05
270,76,0.0,0.0,0.0,1.5625e-05
224,271,0.0,0.0,0.0,2.27771558e-05
224,73,0.0,0.0,0.0,2.34375e-05
201,73,0.0,0.0,0.0,1.171875e-05
240,201,0.0,0.0,0.0,1.171875e-05
567,240,0.0,0.0,0.0,1.5625e-05
793,567,0.0,0.0,0.0,1.5625e-05
985,793,0.0,0.0,0.0,3.125e-05
1091,985,0.0,0.0,0.0,3.125e-05
728,1091,0.0,0.0,0.0,3.125e-05
728,838,0.0,0.0,0.0,6.25e-05
838,405,0.0,0.0,0.0,3.125e-05
405,900,0.0,0.0,0.0,3.125e-05
489,745,0.0,0.0,0.0,1.5625e-05
1085,1038,0.0,0.0,0.0,1.171875e-05
1093,1085,0.0,0.0,0.0,1.953125e-05
550,1093,0.0,0.0,0.0,6.25e-05
670,550,0.0,0.0,0.0,1.171875e-05
345,670,0.0,0.0,0.0,1.953125e-05
978,1020,0.0,0.0,0.0,1.5625e-05
1128,978,0.0,0.0,0.0,1.5625e-05
376,661,0.0,0.0,0.0,3.125e-05
684,376,0.0,0.0,0.0,1.5625e-05
602,684,0.0,0.0,0.0,1.5625e-05
408,602,0.0,0.0,0.0,1.5625e-05
1055,408,0.0,0.0,0.0,1.5625e-05
1079,1055,0.0,0.0,0.0,1.5625e-05
553,485,0.0,0.0,0.0,1.5625e-05
188,553,0.0,0.0,0.0,1.5625e-05
450,188,0.0,0.0,0.0,1.5625e-05
450,316,0.0,0.0,0.0,6.25e-05
316,673,0.0,0.0,0.0,3.125e-05
673,923,0.0,0.0,0.0,3.125e-05
214,681,0.0,0.0,0.0,1.5625e-05
889,214,0.0,0.0,0.0,1.5625e-05
858,625,0.0,0.0,0.0,1.5625e-05
1023,858,0.0,0.0,0.0,1.5625e-05
1023,122,0.0,0.0,0.0,6.25e-05
591,84,0.0,0.0,0.0,3.125e-05
615,591,0.0,0.0,0.0,1.5625e-05
143,615,0.0,0.0,0.0,1.5625e-05
916,143,0.0,0.0,0.0,1.5625e-05
203,916,0.0,0.0,0.0,1.5625e-05
469,203,0.0,0.0,0.0,1.5625e-05
535,652,0.0,0.0,0.0,1.5625e-05
766,535,0.0,0.0,0.0,1.5625e-05
940,766,0.0,0.0,0.0,1.5625e-05
